"MLS Number ","Close Price","Baths Full","Baths Half","Beds Total","Lot Size SqFt","Pool","Yr Built","Zip Code","Listing Contract Date","SqFt Total","DOM","Number Of Stories","Lot Size","Selling Agent Full Name","List Agent Full Name","1st Financing","Selling Office Name","List Office Name","Street Name","Street Number","Street Type"
"13164584","1995","3","0","4","9147.6","False","1995","75025","2015-06-03","2535","54","1","Less Than .5 Acre (not Zero)","George A. Herring Abr","George A. Herring Abr","","RE/MAX Dallas Suburbs","RE/MAX Dallas Suburbs","Nicklaus","748","Drive"
"13172121","1995","2","1","4","6969.6","False","1992","75025","2015-06-14","2528","13","2","","Lucy Chen","Lucy Chen","","Mersal Realty","Mersal Realty","Cherry Spring","2804","Court"
"13175482","1995","3","0","3","10454.4","False","1981","75093","2015-06-18","2068","14","1","Less Than .5 Acre (not Zero)","Rachel S. Reed","Tony So","","Ebby Halliday, REALTORS","Magnum Realty, LLC","Old Shepard","5225","Place"
"13178781","1995","3","1","3","5401.44","False","2007","75025","2015-06-24","2157","50","2","","Azfar Khan","Azfar Khan","","Signature Leasing & Management","Signature Leasing & Management","Prager Port","2120","Lane"
"13178968","1995","2","0","4","","False","1978","75075","2015-06-24","2414","23","1",".5 Acre to .99 Acre","Shira Abrams","Shira Abrams","","DFW Elite","DFW Elite","Bandolino","2901",""
"13181154","1995","2","0","4","7840.8","False","1998","75025","2015-07-01","2602","45","1","Less Than .5 Acre (not Zero)","Stacey Boyd","David A. Blattner","","Ebby Halliday, REALTORS Frisco","RE/MAX Town & Country","Trevino","7509","Drive"
"13186004","1995","2","0","3","6098.4","False","1997","75025","2015-07-05","2151","22","1","Less Than .5 Acre (not Zero)","Galit Zohar Kauf","Eugene Krasny","","RE/MAX Premier Properties","KEI Realty","Mount Rainier","8916","Drive"
"13195011","1995","3","1","5","8712","False","1995","75093","2015-07-14","2389","3","2","","Debra Leonard","Debra Leonard","","Infinity Residential RRE","Infinity Residential RRE","Bear Run","4720","Drive"
"13196945","1995","2","1","4","0","False","1979","75093","2015-07-16","2517","8","2","","Amy Elizabeth Flores","Tom Posey","","Keller Williams Realty Plano","CENTURY 21 Posey Properties","BOSTON","4508","Drive"
"13211174","1995","3","0","4","","False","1995","75025","2015-08-04","2370","44","2","Less Than .5 Acre (not Zero)","Ashley Monroe","Saman C. Ilangasinghe","","Big D Real Estate Service, LLC","Global Realty","Case","8020","Drive"
"13214855","1995","2","1","3","6969.6","False","1997","75025","2015-08-08","2289","17","2","","Liezl Tapang Maliwat","Pragnesh Shah","","Century 21 Judge Fite Co.","Keller Williams Frisco Stars","Catskill","8409","Court"
"13227780","1995","2","1","3","2178","False","2010","75013","2015-08-29","1749","12","2","","Non-Mls Member","Becky Zeng","","NON MLS","Henderson Real Estates","Vashon","843","Drive"
"13234118","1995","2","1","4","7405.2","False","1998","75025","2015-09-08","2375","46","2","Less Than .5 Acre (not Zero)","Camille Sleigher","Joe Camarena","","Reology Group, LLC.","Keller Williams Central","Aqua Vista","7917","Drive"
"13244169","1995","2","1","4","","False","1998","75013","2015-09-22","2309","22","2","Less Than .5 Acre (not Zero)","Joe Camarena","Joe Camarena","","Keller Williams Central","Keller Williams Central","Calstone","310","Drive"
"13247926","1995","2","1","4","6969.6","False","1996","75025","2015-09-27","2739","20","2","","Aimee Schreiner","Grace Zhang","","Nathan Grace Real Estate","DFW Home","Kendall","8509","Drive"
"13037673","1999","2","1","4","6969.6","False","1994","75025","2014-11-12","2601","45","2","Less Than .5 Acre (not Zero)","Helen M. Curry Abr","Will S. Butler","","Ebby Halliday, REALTORS-Coit","Butler Property Company","Kendall","8609","Drive"
"13096067","1999","2","0","3","5227.2","False","1988","75093","2015-02-13","1728","24","1","","Will S. Butler","Will S. Butler","","Butler Property Company","Butler Property Company","Miami","4628","Drive"
"13179604","1999","2","1","4","7405.2","False","1993","75093","2015-06-25","2380","8","2","","Terri L. Cunningham","Maya Rotman","","Coldwell Banker Apex","Ultima Real Estate","Atherton","4217","Drive"
"13201291","1999","2","1","4","9626.76","False","1972","75075","2015-07-23","2442","40","1","Less Than .5 Acre (not Zero)","Keleisha Fuller","Efrem S. Silerio","","LIV Realty, LLC","Keller Williams Realty Plano","Regal","2509","Road"
